id,type,month,date,year
1029,Drafted,9,1,18
1030,Drafted,7,30,18
1031,Drafted,5,1,18
1032,Drafted,7,16,18
1033,Drafted,4,1,18
1034,Drafted,4,2,18
1035,Drafted,7,30,18
1036,Drafted,7,31,18
1037,Drafted,8,24,18
1038,Drafted,7,31,18
1039,Drafted,7,31,18
1040,Drafted,7,27,18
1041,Drafted,6,20,18
1042,Drafted,7,31,18
1043,Drafted,6,20,18
1044,Drafted,9,7,18
1045,Drafted,7,18,18
1046,Drafted,7,30,18
1047,Drafted,10,11,18
1048,Drafted,6,20,18
1049,Drafted,7,29,18
1050,Drafted,8,2,18
1051,Drafted,7,15,18
1052,Drafted,7,17,18
1053,Drafted,4,25,18
1054,Drafted,7,17,18
1055,Drafted,6,29,18
1056,Drafted,6,30,18
1057,Drafted,6,29,18
1058,Drafted,4,27,18
1059,Drafted,7,13,18
1060,Drafted,6,18,18
1061,Drafted,7,28,18
